"","title","author","isbn13","rank","weeks_on_list"
"36","SKYWARD","Brandon Sanderson","9780399555831","8","2"
"37","SKYWARD","Brandon Sanderson","9780399555831","3","1"
"38","SKYWARD","Brandon Sanderson","9780399555862","4","3"
"39","SKYWARD","Brandon Sanderson","9780399555862","8","2"
"40","SKYWARD","Brandon Sanderson","9780399555862","3","1"
"41","SKYWARD","Brandon Sanderson","9780593567852","4","3"
"42","SKYWARD","Brandon Sanderson","9780593567852","8","2"
"43","SKYWARD","Brandon Sanderson","9780593567852","3","1"
"44","SKYWARD","Brandon Sanderson","9780593567869","4","3"
"45","SKYWARD","Brandon Sanderson","9780593567869","8","2"
"46","SKYWARD","Brandon Sanderson","9780593567869","3","1"
"47","SKYWARD","Brandon Sanderson","9780593309742","4","3"
"48","SKYWARD","Brandon Sanderson","9780593309742","8","2"
"49","SKYWARD","Brandon Sanderson","9780593309742","3","1"
"50","SKYWARD","Brandon Sanderson","9780593309711","4","3"
"51","SKYWARD","Brandon Sanderson","9780593309711","8","2"
"52","SKYWARD","Brandon Sanderson","9780593309711","3","1"
"53","SKYWARD","Brandon Sanderson","9780399555886","4","3"
"54","SKYWARD","Brandon Sanderson","9780399555886","8","2"
"55","SKYWARD","Brandon Sanderson","9780399555886","3","1"
"56","SKYWARD","Brandon Sanderson","9780593568286","4","3"
"57","SKYWARD","Brandon Sanderson","9780593568286","8","2"
"58","SKYWARD","Brandon Sanderson","9780593568286","3","1"
"59","SKYWARD","Brandon Sanderson","9780593309728","4","3"
"60","SKYWARD","Brandon Sanderson","9780593309728","8","2"
"61","SKYWARD","Brandon Sanderson","9780593309728","3","1"
"62","THE LOST METAL","Brandon Sanderson","9780765391193","3","0"
"63","THE LOST METAL","Brandon Sanderson","9780765391193","2","1"
"64","THE LOST METAL","Brandon Sanderson","9780765391193","2","1"
"65","THE LOST METAL","Brandon Sanderson","9780765391209","3","0"
"66","THE LOST METAL","Brandon Sanderson","9780765391209","2","1"
"67","THE LOST METAL","Brandon Sanderson","9780765391209","2","1"
"68","THE MOST BORING BOOK EVER","Brandon Sanderson.","9781250843661","2","1"
"69","BURN BRIGHT","Patricia Briggs","9780425281314","8","1"
"70","BURN BRIGHT","Patricia Briggs","9780425281314","1","1"
"71","BURN BRIGHT","Patricia Briggs","9780698195837","8","1"
"72","BURN BRIGHT","Patricia Briggs","9780698195837","1","1"
"73","FIRE TOUCHED","Patricia Briggs","9780425256763","20","0"
"74","FIRE TOUCHED","Patricia Briggs","9780698180918","20","0"
"75","SILENCE FALLEN","Patricia Briggs","9780425281277","10","2"
"76","SILENCE FALLEN","Patricia Briggs","9780425281277","2","1"
"77","SILENCE FALLEN","Patricia Briggs","9780425281277","2","1"
"78","SILENCE FALLEN","Patricia Briggs","9780698195813","10","2"
"79","SILENCE FALLEN","Patricia Briggs","9780698195813","2","1"
"80","SILENCE FALLEN","Patricia Briggs","9780698195813","2","1"
"81","SMOKE BITTEN","Patricia Briggs","9780440001553","8","0"
"82","SMOKE BITTEN","Patricia Briggs","9780440001553","3","1"
"83","SMOKE BITTEN","Patricia Briggs","9780440001553","6","1"
"84","SMOKE BITTEN","Patricia Briggs","9780440001560","8","0"
"85","SMOKE BITTEN","Patricia Briggs","9780440001560","3","1"
"86","SMOKE BITTEN","Patricia Briggs","9780440001560","6","1"
"87","SOUL TAKEN","Patricia Briggs","9780440001614","10","0"
"88","SOUL TAKEN","Patricia Briggs","9780440001614","4","1"
"89","SOUL TAKEN","Patricia Briggs","9780440001614","5","1"
"90","SOUL TAKEN","Patricia Briggs","9780593100127","10","0"
"91","SOUL TAKEN","Patricia Briggs","9780593100127","4","1"
"92","SOUL TAKEN","Patricia Briggs","9780593100127","5","1"
"93","SOUL TAKEN","Patricia Briggs","9780593553671","10","0"
"94","SOUL TAKEN","Patricia Briggs","9780593553671","4","1"
"95","SOUL TAKEN","Patricia Briggs","9780593553671","5","1"
"96","STORM CURSED","Patricia Briggs","9780425281291","7","0"
"97","STORM CURSED","Patricia Briggs","9780425281291","2","1"
"98","STORM CURSED","Patricia Briggs","9780425281291","6","1"
"99","STORM CURSED","Patricia Briggs","9780698195820","7","0"
"100","STORM CURSED","Patricia Briggs","9780698195820","2","1"
"101","STORM CURSED","Patricia Briggs","9780698195820","6","1"
"102","WILD SIGN","Patricia Briggs","9780440001584","10","0"
"103","WILD SIGN","Patricia Briggs","9780440001584","9","1"
"104","WILD SIGN","Patricia Briggs","9780440001584","2","1"
"105","WILD SIGN","Patricia Briggs","9780440001591","10","0"
"106","WILD SIGN","Patricia Briggs","9780440001591","9","1"
"107","WILD SIGN","Patricia Briggs","9780440001591","2","1"
"108","WILD SIGN","Patricia Briggs","9780593347294","10","0"
"109","WILD SIGN","Patricia Briggs","9780593347294","9","1"
"110","WILD SIGN","Patricia Briggs","9780593347294","2","1"
"111","WINTER LOST","Patricia Briggs","9780593438985","12","1"
"112","WINTER LOST","Patricia Briggs","9780593438985","4","1"
"113","WINTER LOST","Patricia Briggs","9780593439005","12","1"
"114","WINTER LOST","Patricia Briggs","9780593439005","4","1"
"115","A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473","12","33"
"116","A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473","10","0"
"117","A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473","13","32"
"118","A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473","12","31"
"119","A COURT OF MIST AND FURY","Sarah J. Maas","9781619634473","9","0"
"120","A COURT OF MIST AND FURY","Sarah J. Maas","9781619635197","12","33"
"121","A COURT OF MIST AND FURY","Sarah J. Maas","9781619635197","10","0"
"122","A COURT OF MIST AND FURY","Sarah J. Maas","9781619635197","13","32"
"123","A COURT OF MIST AND FURY","Sarah J. Maas","9781619635197","12","31"
"124","A COURT OF MIST AND FURY","Sarah J. Maas","9781619635197","9","0"
"125","A COURT OF MIST AND FURY","Sarah J. Maas","9781635575583","12","33"
"126","A COURT OF MIST AND FURY","Sarah J. Maas","9781635575583","10","0"
"127","A COURT OF MIST AND FURY","Sarah J. Maas","9781635575583","13","32"
"128","A COURT OF MIST AND FURY","Sarah J. Maas","9781635575583","12","31"
"129","A COURT OF MIST AND FURY","Sarah J. Maas","9781635575583","9","0"
"130","A COURT OF MIST AND FURY","Sarah J. Maas","9781635575576","12","33"
"131","A COURT OF MIST AND FURY","Sarah J. Maas","9781635575576","10","0"
"132","A COURT OF MIST AND FURY","Sarah J. Maas","9781635575576","13","32"
"133","A COURT OF MIST AND FURY","Sarah J. Maas","9781635575576","12","31"
"134","A COURT OF MIST AND FURY","Sarah J. Maas","9781635575576","9","0"
"135","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459","6","35"
"136","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459","11","35"
"137","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459","6","34"
"138","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459","3","34"
"139","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459","4","33"
"140","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459","12","33"
"141","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459","2","32"
"142","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459","5","32"
"143","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459","8","31"
"144","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459","11","31"
"145","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459","5","30"
"146","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781547604173","6","35"
"147","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781547604173","11","35"
"148","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781547604173","6","34"
"149","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781547604173","3","34"
"150","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781547604173","4","33"
"151","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781547604173","12","33"
"152","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781547604173","2","32"
"153","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781547604173","5","32"
"154","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781547604173","8","31"
"155","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781547604173","11","31"
"156","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781547604173","5","30"
"157","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575569","6","35"
"158","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575569","11","35"
"159","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575569","6","34"
"160","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575569","3","34"
"161","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575569","4","33"
"162","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575569","12","33"
"163","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575569","2","32"
"164","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575569","5","32"
"165","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575569","8","31"
"166","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575569","11","31"
"167","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575569","5","30"
"168","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575552","6","35"
"169","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575552","11","35"
"170","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575552","6","34"
"171","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575552","3","34"
"172","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575552","4","33"
"173","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575552","12","33"
"174","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575552","2","32"
"175","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575552","5","32"
"176","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575552","8","31"
"177","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575552","11","31"
"178","A COURT OF THORNS AND ROSES","Sarah J. Maas","9781635575552","5","30"
"179","A COURT OF WINGS AND RUIN","Sarah J. Maas","9781635575606","13","0"
"180","A COURT OF WINGS AND RUIN","Sarah J. Maas","9781635575606","10","0"
"181","A COURT OF WINGS AND RUIN","Sarah J. Maas","9781635575590","13","0"
"182","A COURT OF WINGS AND RUIN","Sarah J. Maas","9781635575590","10","0"
"183","THRONE OF GLASS","Sarah J. Maas","9781639730957","14","0"
"184","THRONE OF GLASS","Sarah J. Maas","9781639730957","14","0"
"185","FUGITIVE TELEMETRY","Martha Wells","9781250765376","4","1"
"186","FUGITIVE TELEMETRY","Martha Wells","9781250765376","14","1"
"187","FUGITIVE TELEMETRY","Martha Wells","9781250765383","4","1"
"188","FUGITIVE TELEMETRY","Martha Wells","9781250765383","14","1"
"189","NETWORK EFFECT","Martha Wells","9781250229847","14","1"
"190","NETWORK EFFECT","Martha Wells","9781250229861","14","1"
"191","SYSTEM COLLAPSE","Martha Wells","9781250826978","12","1"
"192","SYSTEM COLLAPSE","Martha Wells","9781250826978","4","1"
"193","SYSTEM COLLAPSE","Martha Wells","9781250826985","12","1"
"194","SYSTEM COLLAPSE","Martha Wells","9781250826985","4","1"
"195","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","5","754"
"196","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","4","753"
"197","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","5","752"
"198","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","6","751"
"199","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","3","750"
"200","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","3","749"
"201","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","4","748"
"202","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","2","747"
"203","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","2","746"
"204","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","2","745"
"205","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","1","744"
"206","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","6","743"
"207","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","7","742"
"208","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","5","741"
"209","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","5","740"
"210","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","5","739"
"211","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","4","738"
"212","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","7","737"
"213","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","4","736"
"214","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101505","4","735"
"215","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","5","754"
"216","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","4","753"
"217","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","5","752"
"218","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","6","751"
"219","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","3","750"
"220","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","3","749"
"221","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","4","748"
"222","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","2","747"
"223","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","2","746"
"224","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","2","745"
"225","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","1","744"
"226","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","6","743"
"227","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","7","742"
"228","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","5","741"
"229","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","5","740"
"230","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","5","739"
"231","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","4","738"
"232","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","7","737"
"233","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","4","736"
"234","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101475","4","735"
"235","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","5","754"
"236","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","4","753"
"237","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","5","752"
"238","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","6","751"
"239","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","3","750"
"240","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","3","749"
"241","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","4","748"
"242","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","2","747"
"243","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","2","746"
"244","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","2","745"
"245","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","1","744"
"246","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","6","743"
"247","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","7","742"
"248","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","5","741"
"249","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","5","740"
"250","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","5","739"
"251","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","4","738"
"252","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","7","737"
"253","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","4","736"
"254","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101499","4","735"
"255","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","5","754"
"256","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","4","753"
"257","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","5","752"
"258","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","6","751"
"259","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","3","750"
"260","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","3","749"
"261","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","4","748"
"262","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","2","747"
"263","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","2","746"
"264","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","2","745"
"265","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","1","744"
"266","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","6","743"
"267","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","7","742"
"268","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","5","741"
"269","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","5","740"
"270","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","5","739"
"271","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","4","738"
"272","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","7","737"
"273","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","4","736"
"274","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786838653","4","735"
"275","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","5","754"
"276","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","4","753"
"277","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","5","752"
"278","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","6","751"
"279","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","3","750"
"280","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","3","749"
"281","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","4","748"
"282","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","2","747"
"283","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","2","746"
"284","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","2","745"
"285","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","1","744"
"286","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","6","743"
"287","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","7","742"
"288","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","5","741"
"289","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","5","740"
"290","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","5","739"
"291","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","4","738"
"292","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","7","737"
"293","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","4","736"
"294","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423103349","4","735"
"295","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","5","754"
"296","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","4","753"
"297","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","5","752"
"298","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","6","751"
"299","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","3","750"
"300","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","3","749"
"301","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","4","748"
"302","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","2","747"
"303","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","2","746"
"304","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","2","745"
"305","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","1","744"
"306","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","6","743"
"307","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","7","742"
"308","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","5","741"
"309","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","5","740"
"310","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","5","739"
"311","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","4","738"
"312","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","7","737"
"313","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","4","736"
"314","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423101482","4","735"
"315","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","5","754"
"316","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","4","753"
"317","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","5","752"
"318","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","6","751"
"319","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","3","750"
"320","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","3","749"
"321","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","4","748"
"322","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","2","747"
"323","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","2","746"
"324","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","2","745"
"325","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","1","744"
"326","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","6","743"
"327","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","7","742"
"328","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","5","741"
"329","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","5","740"
"330","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","5","739"
"331","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","4","738"
"332","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","7","737"
"333","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","4","736"
"334","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423113492","4","735"
"335","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","5","754"
"336","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","4","753"
"337","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","5","752"
"338","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","6","751"
"339","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","3","750"
"340","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","3","749"
"341","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","4","748"
"342","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","2","747"
"343","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","2","746"
"344","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","2","745"
"345","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","1","744"
"346","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","6","743"
"347","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","7","742"
"348","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","5","741"
"349","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","5","740"
"350","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","5","739"
"351","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","4","738"
"352","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","7","737"
"353","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","4","736"
"354","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9781423121664","4","735"
"355","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786856862","5","754"
"356","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786856862","4","753"
"357","PERCY JACKSON & THE OLYMPIANS","Rick Riordan","9780786856862","5","752"
